last_name, first_name, second_name, date_of_birth, phone_number, start_date, role, departament
Нелидов,Тимур,Тимурович,1997-03-05,+84752850908,2008-03-26,front-end dev,front-end dev
Оболенский,Вячеслав,Генрихович,1997-06-08,+83666588373,2016-01-04,back-end dev,back-end dev
Антипин,Сергей,Кириллович,1994-04-17,+38619791077,2015-03-14,Administrator,Administrator
Амиреджибов,Сысой,Илариевич,1981-03-18,+48773937775,2018-06-02,Administrator,Administrator
Немирович,Христиан,Акакиевич,1993-07-24,+95342635607,2015-04-11,back-end dev,back-end dev
Аверкиев,Серафим,Егорьевич,1987-04-04,+91365802681,2011-12-03,front-end dev,front-end dev
Чернышёв,Фефил,Лаврович,1983-10-01,+64428866217,2018-06-28,back-end dev,back-end dev
Пономаренко,Матвей,Вуколович,1990-06-17,+79490681335,2019-09-10,back-end dev,back-end dev
Скопин,Ероним,Леонтьевич,1994-07-13,+54933835051,2010-06-24,Administrator,Administrator
Соковнин,Нонн,Андроникович,1998-06-13,+16426520848,2019-02-05,back-end dev,back-end dev
Левкович,Назарий,Кирсанович,1988-04-05,+81446916059,2019-04-06,Administrator,Administrator
Митусов,Владислав,Маратович,1981-07-26,+39331148967,2015-07-28,Administrator,Administrator
Владычин,Константин,Альфредович,1984-10-22,+73461696474,2019-12-11,back-end dev,back-end dev
Соломерецкий,Анастасий,Никодимович,1990-11-12,+96517195283,2009-07-25,Administrator,Administrator
Лужин,Флор,Зинонович,1986-04-25,+40156772460,2010-07-27,front-end dev,front-end dev
Васильковский,Аким,Данилович,1995-09-19,+89678523016,2016-09-28,Administrator,Administrator
Бобровский,Ждан,Викентьевич,1980-05-18,+89061619484,2012-07-08,Administrator,Administrator
Луцкевич,Власий,Михеевич,1991-03-03,+95181385602,2014-10-16,front-end dev,front-end dev
Бахтыгозин,Ангелий,Рэмович,1980-02-27,+19567906372,2019-02-23,Administrator,Administrator
Щепин,Алфей,Авенирович,1996-10-26,+84082775915,2020-01-10,front-end dev,front-end dev
Емелькин,Малахия,Тимурович,1998-03-07,+22313681293,2011-04-13,back-end dev,back-end dev
Юрлов,Северин,Велимирович,1994-04-22,+76114634302,2013-03-12,back-end dev,back-end dev
Леняков,Изяслав,Всеславович,1995-10-20,+20290319008,2013-05-17,back-end dev,back-end dev
Никольский,Евдоким,Мануйлович,1981-08-24,+51452417523,2019-04-22,front-end dev,front-end dev
Битяговский,Эмилиан,Акинфович,1994-09-03,+42270820867,2016-11-28,front-end dev,front-end dev
Мясной,Ананий,Эразмович,1994-04-05,+33349270159,2010-06-03,back-end dev,back-end dev
Гурченко,Акакий,Арефьевич,1988-11-08,+72528535893,2014-05-07,front-end dev,front-end dev
Шуклин,Фавстин,Гермогенович,1987-07-28,+87551996393,2013-03-10,front-end dev,front-end dev
Мичурин,Зосима,Любомирович,1994-04-08,+36273388092,2012-08-18,front-end dev,front-end dev
Цвирко,Лиодор,Всеволодович,1992-03-12,+40555039288,2014-06-04,back-end dev,back-end dev
Телешев,Модест,Данилович,1993-02-12,+79063802410,2008-01-17,back-end dev,back-end dev
Попович,Маврикий,Агафонович,1992-05-23,+94450484361,2012-04-14,front-end dev,front-end dev
Бельков,Апеллий,Натанович,1987-02-02,+55895087511,2013-03-16,Administrator,Administrator
Никифоров,Хавст,Мстиславович,1998-03-01,+96012399590,2018-05-15,back-end dev,back-end dev
Бакеев,Маркеллин,Марьевич,1982-04-13,+34960078458,2017-06-22,front-end dev,front-end dev
Белавин,Мирон,Силантьевич,1992-03-21,+57998303187,2016-09-02,back-end dev,back-end dev
Исленьев,Захар,Валентинович,1983-06-03,+12905919056,2010-07-24,back-end dev,back-end dev
Бурцов,Лин,Алексиевич,1987-01-30,+65296455580,2012-12-05,back-end dev,back-end dev
Розенбах,Мефодий,Несторович,1988-02-27,+68686311112,2016-01-24,back-end dev,back-end dev
Витвицкий,Ренат,Пантелеевич,1981-08-14,+88906503492,2009-07-25,Administrator,Administrator
Агалин,Даниил,Люцианович,1989-05-26,+98720237305,2014-10-14,back-end dev,back-end dev
Бутурлин,Нонн,Нарциссович,1995-10-22,+44148494930,2013-01-24,front-end dev,front-end dev
Хметевский,Всеслав,Егорович,1999-10-14,+52785098562,2014-12-19,front-end dev,front-end dev
Суковкин,Рюрик,Ларионович,1992-03-16,+91410292071,2019-03-21,Administrator,Administrator
Бурков,Володарь,Исидорович,1994-07-24,+34865025369,2015-08-18,front-end dev,front-end dev
Волынский,Анисим,Андронович,1997-09-05,+26092445348,2017-12-21,back-end dev,back-end dev
Микулаев,Фёдор,Павлинович,1995-01-25,+74208358328,2011-05-26,back-end dev,back-end dev
Чеглоков,Хрисанф,Ипполитович,1985-08-26,+67894368366,2016-03-31,front-end dev,front-end dev
Геев,Каллиник,Аввакумович,1998-06-03,+84229946126,2010-09-11,Administrator,Administrator
Жилин,Фалалей,Рафаилович,1989-04-04,+78574195255,2009-06-18,front-end dev,front-end dev
Батюшков,Севастиан,Устинович,1988-12-24,+72635982699,2012-02-22,Administrator,Administrator
Вадбольский,Фатей,Иоаннович,1992-08-13,+76260464747,2012-08-29,back-end dev,back-end dev
Валуев,Гектор,Гермогенович,1985-02-17,+73039741602,2012-01-07,back-end dev,back-end dev
Коростовцев,Иосиф,Наркисович,1993-02-04,+12916410672,2012-11-15,back-end dev,back-end dev
Мустафин,Гликерий,Пантелеевич,1984-04-07,+98219937793,2019-08-23,back-end dev,back-end dev
Поздеев,Александр,Фирсович,1980-05-02,+34684530697,2009-05-06,front-end dev,front-end dev
Чеснок,Агафангел,Харитонович,1985-03-01,+80438374006,2019-08-02,Administrator,Administrator
Шульговский,Яков,Самсонович,1992-03-19,+30343267882,2018-07-31,Administrator,Administrator
Трусов,Донат,Елизарович,1996-01-01,+32509738904,2008-09-05,Administrator,Administrator
Бурлей,Домнин,Богданович,1998-03-13,+71697951523,2018-01-18,back-end dev,back-end dev
Трусов,Братислав,Аксёнович,1988-05-22,+90804680950,2011-06-24,back-end dev,back-end dev
Влезков,Анатолий,Андронович,1992-11-29,+83717982883,2016-07-09,Administrator,Administrator
Векошкин,Ефрем,Арнольдович,1990-09-01,+55140286243,2017-09-13,front-end dev,front-end dev
